w_code,w_name
000688CNY01.SH,科创50(全)
000688EUR01.CSI,科创50(全)EUR
000688GBP01.CSI,科创50(全)GBP
000688HKD01.CSI,科创50(全)HKD
000688USD01.CSI,科创50(全)USD
000688USD08.CSI,科创50(全)USD(CNH)
000698CNY010.SH,科创100(全)
000698EUR210.SH,科创100(全)EUR
000698GBP210.SH,科创100(全)GBP
000698HKD210.SH,科创100(全)HKD
000698USD210.SH,科创100(全)USD
000698USD310.SH,科创100(全)USD(CNH)
h00009.SH,上证380全收益
h00010.SH,180收益
h00016.SH,50收益
h00020.SH,中企收益
h00043.SH,超大收
h00044.SH,上证中收
h00045.SH,上证小收
h00046.SH,上中小收
h00047.SH,上证全收
h00090.SH,上证流通全收益
h00132.SH,上证100全收益
h00133.SH,上证150全收益
h00155.SH,上证市值百强全收益
399002.SZ,深成指R
399003.SZ,深成B指
399004.SZ,深证100R
399333.SZ,中小100R
399344.SZ,深证300R
399606.SZ,创业板R
399611.SZ,中创100R
399679.SZ,深证200R
470006.CNI,创业板R(港币)(CNH)
470007.CNI,创业板R(美元)(CNH)
CN2008.CNI,中小300R
CN2010.CNI,深证700R
CN2011.CNI,深证1000R
CN2012.CNI,创业300R
CN2015.CNI,中小创新R
CN2088.CNI,深创100R
CN2293.CNI,创业大盘R
CN2623.CNI,中小基础R
CN2624.CNI,中创400R
CN2625.CNI,中创500R
CN2640.CNI,创业基础R
CN2673.CNI,创业板50R
CN2850.CNI,深证50R
CN6109.CNI,中创100美元R
000300HKD01.CSI,沪深300(全)HKD
000300HKD08.CSI,沪深300(全)HKD(CNH)
000688CNY01.SH,科创50(全)
000688EUR01.CSI,科创50(全)EUR
000688GBP01.CSI,科创50(全)GBP
000688HKD01.CSI,科创50(全)HKD
000688USD01.CSI,科创50(全)USD
000688USD08.CSI,科创50(全)USD(CNH)
000698CNY010.SH,科创100(全)
000698EUR210.SH,科创100(全)EUR
000698GBP210.SH,科创100(全)GBP
000698HKD210.SH,科创100(全)HKD
000698USD210.SH,科创100(全)USD
000698USD310.SH,科创100(全)USD(CNH)
899050CNY01.CSI,北证50全收益
921395.CSI,沪港深300(全)
921396.CSI,沪港深300(全)HKD
921459.SH,中证800(全)USD
921460.SH,中证1000(全)USD
930050CNY010.CSI,中证A50全收益
931269CNY210.CSI,港股通30(全)CNY
931269HKD210.CSI,港股通30(全)
931401CNY210.CSI,香港30(全)CNY
931401HKD210.CSI,香港30(全)
931643CNY01.CSI,科创创业50全收益
931647CNY01.CSI,兴银理财均衡300全收益
931791CNY01.CSI,大盘蓝筹25(全)
931840USD01.CSI,大盘蓝筹25(全)USD
932000CNY010.CSI,中证2000全收益
932000EUR210.CSI,中证2000(全)EUR
932000GBP210.CSI,中证2000(全)GBP
932000HKD210.CSI,中证2000(全)HKD
932000USD210.CSI,中证2000(全)USD
932000USD310.CSI,中证2000(全)USD(CNH)
h00009.SH,上证380全收益
h00010.SH,180收益
h00016.SH,50收益
h00020.SH,中企收益
h00043.SH,超大收
h00044.SH,上证中收
h00045.SH,上证小收
h00046.SH,上中小收
h00047.SH,上证全收
h00090.SH,上证流通全收益
h00132.SH,上证100全收益
h00133.SH,上证150全收益
h00155.SH,上证市值百强全收益
h00300.CSI,300收益
h00852.SH,中证1000全收益
h00903.CSI,100收益
h00904.CSI,200收益
h00905.CSI,500收益
h00906.CSI,800收益
h00907.CSI,700收益
h00980.CSI,中证超大全收益
h00985.CSI,中证全指全收益
h01103.CSI,香港内地50人民币全收益
h01123.CSI,香港内地50全收益
h01164.CSI,中证香港300全收益
h01165.CSI,中证香港200全收益
h01166.CSI,中证HK300内地全收益
h01167.CSI,中证HK300本地全收益
h01168.CSI,中证香港300人民币全收益
h01169.CSI,中证香港200人民币全收益
h01170.CSI,中证HK300内地人民币全收益
h01171.CSI,中证HK300本地人民币全收益
h20455.CSI,沪港深500(全)
h20456.CSI,沪港深通中小(全)
h20457.CSI,沪港深通综合(全)
h20488.CSI,沪港深500(全)HKD
h20489.CSI,沪港深通中小(全)HKD
h20490.CSI,沪港深通综合(全)HKD
h20748.CSI,沪深300(全)USD
h20749.CSI,沪深300(全)USD(CNH)
h20750.CSI,中证500(全)USD
h20751.CSI,中证500(全)USD(CNH)
h20752.CSI,中证500(全)HKD
h20753.CSI,中证500(全)HKD(CNH)
h20931.CSI,港股通50(全)(HKD)
h20934.CSI,港股通50(全)CNY
N99001.CSI,三板成指全收益
N99002.CSI,三板做市全收益
s00802.SZ,500深市全收益
480001.CNI,湾创100R
480002.CNI,湾创100R(港币)
483001.CNI,内地100R
483002.CNI,内地100R(港币)
CN2019.SZ,创业200R
CN2020.SZ,创业小盘R
CN2303.CNI,国证2000R
CN2311.CNI,国证1000R
CN2312.CNI,国证300R
CN2313.CNI,巨潮100R
CN2314.CNI,巨潮大盘R
CN2315.CNI,巨潮中盘R
CN2316.CNI,巨潮小盘R
CN2400.CNI,大中盘R
CN2401.CNI,中小盘R
CN2750.SZ,深主板50R
