 交易日,自然日期,发生时间,最新价,开盘价,最高价,最低价,昨收价,总成交量,成交量,总成交额,成交额,总持,增仓,买一价,买一量,卖一价,卖一量
20100416,20100416,90015000,0,0,0,0,3870000,0,0,0,0,25160,0,3862000,1,3878000,10,
20100416,20100416,90017000,0,0,0,0,3870000,0,0,0,0,25160,0,3861000,1,3878000,10,
20100416,20100416,90033000,0,0,0,0,3870000,0,0,0,0,25160,0,3861000,1,3878000,20,
20100416,20100416,90049000,3861000,3861000,3861000,3861000,3870000,2,2,772,772,25160,0,3856000,2,3878000,20,
20100416,20100416,90059000,3861000,3861000,3861000,3861000,3870000,2,0,772,0,25160,0,3856000,2,3877000,2,
20100416,20100416,90100000,3861000,3861000,3861000,3861000,3870000,2,0,772,0,25160,0,3856000,2,3877000,7,
20100416,20100416,90103000,3861000,3861000,3861000,3861000,3870000,2,0,772,0,25160,0,3858000,2,3877000,7,
20100416,20100416,90109000,3861000,3861000,3861000,3861000,3870000,2,0,772,0,25160,0,3858000,2,3876000,5,
20100416,20100416,90117000,3861000,3861000,3861000,3861000,3870000,2,0,772,0,25160,0,3858000,2,3875000,5,
20100416,20100416,90121000,3861000,3861000,3861000,3861000,3870000,2,0,772,0,25160,0,3860000,1,3875000,5,
20100416,20100416,90133000,3861000,3861000,3861000,3861000,3870000,2,0,772,0,25160,0,3860000,1,3874000,6,
20100416,20100416,90134000,3861000,3861000,3861000,3861000,3870000,2,0,772,0,25160,0,3861000,1,3874000,6,
20100416,20100416,90151000,3861000,3861000,3861000,3861000,3870000,4,2,1544,772,25160,0,3860000,1,3874000,6,
20100416,20100416,90205000,3861000,3861000,3861000,3861000,3870000,4,0,1544,0,25160,0,3860000,1,3862000,5,
20100416,20100416,90216000,3862000,3861000,3862000,3861000,3870000,8,4,3089,1545,25160,0,3860000,1,3862000,3,
20100416,20100416,90221000,3862000,3861000,3862000,3861000,3870000,8,0,3089,0,25160,0,3858000,2,3862000,3,
20100416,20100416,90231000,3862000,3861000,3862000,3861000,3870000,8,0,3089,0,25160,0,3860000,1,3862000,3,
20100416,20100416,90237000,3862000,3861000,3862000,3861000,3870000,12,4,4634,1545,25156,-4,3860000,1,3862000,1,
20100416,20100416,90249000,3860000,3861000,3862000,3860000,3870000,14,2,5406,772,25156,0,3858000,2,3862000,1,
